close,datetime,symbol
34.44,2022-03-03 00:00:00,ELET3
22.27,2022-03-03 00:00:00,RECV3
33.09,2022-03-03 00:00:00,HYPE3
43.16,2022-03-03 00:00:00,SMTO3
38.61,2022-03-03 00:00:00,RRRP3
33.77,2022-03-03 00:00:00,ELET6
87.57,2022-03-03 00:00:00,UNIP6
47.8,2022-03-03 00:00:00,SLCE3
27.52,2022-03-03 00:00:00,CPFE3
25.1,2022-03-03 00:00:00,LOGN3
22.08,2022-03-04 00:00:00,RECV3
32.15,2022-03-04 00:00:00,HYPE3
48.53,2022-03-04 00:00:00,SLCE3
87.31,2022-03-04 00:00:00,UNIP6
26.99,2022-03-04 00:00:00,CPFE3
43,2022-03-04 00:00:00,SMTO3
38.62,2022-03-04 00:00:00,RRRP3
24.48,2022-03-04 00:00:00,LOGN3
34.05,2022-03-04 00:00:00,ELET3
33.48,2022-03-04 00:00:00,ELET6
31.78,2022-03-07 00:00:00,HYPE3
51.13,2022-03-07 00:00:00,SLCE3
25.05,2022-03-07 00:00:00,LOGN3
21.45,2022-03-07 00:00:00,RECV3
31.61,2022-03-07 00:00:00,ELET6
38.3,2022-03-07 00:00:00,RRRP3
85.06,2022-03-07 00:00:00,UNIP6
42.01,2022-03-07 00:00:00,SMTO3
32.28,2022-03-07 00:00:00,ELET3
26.61,2022-03-07 00:00:00,CPFE3
32.17,2022-03-08 00:00:00,HYPE3
24.92,2022-03-08 00:00:00,LOGN3
26.94,2022-03-08 00:00:00,CPFE3
42.4,2022-03-08 00:00:00,SMTO3
49.86,2022-03-08 00:00:00,SLCE3
21.7,2022-03-08 00:00:00,RECV3
32.7,2022-03-08 00:00:00,ELET3
85.33,2022-03-08 00:00:00,UNIP6
39.06,2022-03-08 00:00:00,RRRP3
31.93,2022-03-08 00:00:00,ELET6
33.22,2022-03-09 00:00:00,ELET6
87.47,2022-03-09 00:00:00,UNIP6
27.54,2022-03-09 00:00:00,CPFE3
37.36,2022-03-09 00:00:00,RRRP3
43.89,2022-03-09 00:00:00,SMTO3
33.1,2022-03-09 00:00:00,HYPE3
25.11,2022-03-09 00:00:00,LOGN3
21.16,2022-03-09 00:00:00,RECV3
34.3,2022-03-09 00:00:00,ELET3
47.88,2022-03-09 00:00:00,SLCE3
89.87,2022-03-10 00:00:00,UNIP6
43.97,2022-03-10 00:00:00,SMTO3
48.25,2022-03-10 00:00:00,SLCE3
25.13,2022-03-10 00:00:00,LOGN3
27.86,2022-03-10 00:00:00,CPFE3
32.41,2022-03-10 00:00:00,HYPE3
34.04,2022-03-10 00:00:00,ELET3
36.94,2022-03-10 00:00:00,RRRP3
21.35,2022-03-10 00:00:00,RECV3
32.9,2022-03-10 00:00:00,ELET6
49.48,2022-03-11 00:00:00,SLCE3
36.04,2022-03-11 00:00:00,RRRP3
45.5,2022-03-11 00:00:00,SMTO3
33.4,2022-03-11 00:00:00,ELET3
88.37,2022-03-11 00:00:00,UNIP6
31.91,2022-03-11 00:00:00,HYPE3
32.32,2022-03-11 00:00:00,ELET6
24.78,2022-03-11 00:00:00,LOGN3
20.51,2022-03-11 00:00:00,RECV3
27.84,2022-03-11 00:00:00,CPFE3
24.19,2022-03-14 00:00:00,LOGN3
32.05,2022-03-14 00:00:00,ELET6
46.65,2022-03-14 00:00:00,SMTO3
19.23,2022-03-14 00:00:00,RECV3
89.36,2022-03-14 00:00:00,UNIP6
28.12,2022-03-14 00:00:00,CPFE3
31.98,2022-03-14 00:00:00,HYPE3
35.07,2022-03-14 00:00:00,RRRP3
48.25,2022-03-14 00:00:00,SLCE3
33.07,2022-03-14 00:00:00,ELET3
32.09,2022-03-15 00:00:00,ELET6
32.91,2022-03-15 00:00:00,HYPE3
34.85,2022-03-15 00:00:00,RRRP3
47.86,2022-03-15 00:00:00,SLCE3
89.81,2022-03-15 00:00:00,UNIP6
27.98,2022-03-15 00:00:00,CPFE3
24.97,2022-03-15 00:00:00,LOGN3
33.13,2022-03-15 00:00:00,ELET3
19.92,2022-03-15 00:00:00,RECV3
45.37,2022-03-15 00:00:00,SMTO3
33.45,2022-03-16 00:00:00,HYPE3
19.67,2022-03-16 00:00:00,RECV3
27.98,2022-03-16 00:00:00,CPFE3
32.32,2022-03-16 00:00:00,ELET6
32.84,2022-03-16 00:00:00,ELET3
46.6,2022-03-16 00:00:00,SLCE3
33.96,2022-03-16 00:00:00,RRRP3
